timestamp,sysDescr,sysUpTimeInstance,latency
2014-08-19 02:51:49.253,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:48.08,3
2014-08-19 02:51:51.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:50.04,2
2014-08-19 02:51:53.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:52.04,3
2014-08-19 02:51:55.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:54.04,3
2014-08-19 02:51:57.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:56.04,5
2014-08-19 02:51:59.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:58.04,4
2014-08-19 02:52:01.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:00.05,2
2014-08-19 02:52:03.223,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:02.04,4
2014-08-19 02:52:05.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:04.04,2
2014-08-19 02:52:07.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:06.04,2
2014-08-19 02:52:09.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:08.04,2
2014-08-19 02:52:11.229,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:10.04,14
2014-08-19 02:52:13.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:12.04,2
2014-08-19 02:52:15.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:14.04,2
2014-08-19 02:52:17.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:16.04,2
2014-08-19 02:52:19.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:18.04,2
2014-08-19 02:52:21.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:20.04,5
2014-08-19 02:52:23.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:22.04,2
